sku;brand;title;categoryPath;url;eans;description;imageUrls;price;basePrice;colour;size;maxOrderProcessingTime;deliveryTime;fulfillmentType;technicalSolution;paymentCosts_credit_card;deliveryCosts_dhl
scitec-5kg-schokolade-handtuch;Scitec Nutrition;Scitec Nutrition 100% Whey Protein Professional Schokolade 5kg + Handtuch;Sport & Freizeit > Fitness > Sporternährung > Whey Protein;https://niroox.de/products/scitec-nutrition-100-whey-protein-professional-schokolade-5kg-handtuch?utm_source=idealo&utm_medium=cpc;5999100021426;Scitec Nutrition 100% Whey Protein Professional 5kg+ bonus.;https://cdn.shopify.com/s/files/1/0843/5240/1734/files/s-l1600_8d1dddf9-0112-4578-ae76-47273d776a89.jpg?v=1780220691;138.90;2.78 EUR per 100 g;;;1;2 bis 4 Werktage;Paketdienst;"Integration-Partner: eshop-guide; Partner-Merchant-Solution: Shopify; Partner-Merchant-Solution-Version: unbekannt; Interface-Version: unbekannt";0;0
mutant-mass-2270g_vanilla-ice-cream;Mutant;Mutant Mass Weight Gainer 2270g – Vanilla Ice Cream | 56g Protein, 1100 Kalorien;Sport & Freizeit > Fitness > Sporternährung > Weight Gainer;https://niroox.de/products/mutant-mass-2270g-weight-gainer-protein-muskelaufbau?utm_source=idealo&utm_medium=cpc;627933026664;"Mutant Mass – Der #1 Weight Gainer für maximalen Muskelaufbau  Du willst Masse aufbauen, aber normale Ernährung reicht nicht aus?  Mutant Mass 2270g ist der leistungsstärkste Weight Gainer  auf dem Markt – entwickelt für Bodybuilder, Hard Gainer und ambitionierte  Athleten, die ernsthaft Muskelmasse aufbauen wollen.  Was macht Mutant Mass besonders?    ✅ 56 g hochwertiges Protein pro Portion – aus Whey Isolat, Konzentrat &amp; Casein   ✅ Über 1.100 Kalorien pro Portion für maximalen Kalorienüberschuss   ✅ 52 % weniger Zucker als die Vorgängerformel – cleaner Gainer   ✅ 36 g BCAAs, EAAs &amp; Glutamin für optimale Regeneration   ✅ Natürliche Zutaten wie Hafer, Süßkartoffel &amp; Avocado   ✅ 6 leckere Geschmacksrichtungen – einfach zu mischen   Für wen ist Mutant Mass geeignet? Mutant Mass wurde speziell für Hard Gainer entwickelt –  Menschen, die trotz intensivem Training Schwierigkeiten haben,  ausreichend Kalorien und Nährstoffe über die normale Ernährung aufzunehmen.  Ob in der Aufbauphase, nach dem Training oder als  kalorienreicher Snack zwischen den Mahlzeiten – Mutant Mass liefert  genau das, was dein Körper für maximales Wachstum braucht.  Neu &amp; Verbesserte Formel Die aktuelle Mutant Mass Formel ist das Ergebnis jahrelanger Forschung  und Entwicklung. Mehr Protein, weniger Zucker, besserer Geschmack –  und jetzt mit natürlichen Vollwertzutaten angereichert.  Produktdetails     Inhalt: 2270g (Beutel)    Protein pro Portion: 56g    Kalorien pro Portion: über 1.100 kcal    BCAAs/EAAs/Glutamin: 36g    Geschmacksrichtungen: 6 Varianten verfügbar";https://cdn.shopify.com/s/files/1/0843/5240/1734/files/mutant-mass-weight-gainer-2270g-56g-protein-1100-kalorien-bcaas-eaas-masse-aufbauen-1073981.jpg?v=1778490555;29.99;1.32 EUR per 100 g;;;1;2 bis 4 Werktage;Paketdienst;"Integration-Partner: eshop-guide; Partner-Merchant-Solution: Shopify; Partner-Merchant-Solution-Version: unbekannt; Interface-Version: unbekannt";0;0
mutant-mass-2270g_triple-chocolate;Mutant;Mutant Mass Weight Gainer 2270g – Triple Chocolate | 56g Protein, 1100 Kalorien;Sport & Freizeit > Fitness > Sporternährung > Weight Gainer;https://niroox.de/products/mutant-mass-2270g-weight-gainer-protein-muskelaufbau?utm_source=idealo&utm_medium=cpc;627933026664;"Mutant Mass – Der #1 Weight Gainer für maximalen Muskelaufbau  Du willst Masse aufbauen, aber normale Ernährung reicht nicht aus?  Mutant Mass 2270g ist der leistungsstärkste Weight Gainer  auf dem Markt – entwickelt für Bodybuilder, Hard Gainer und ambitionierte  Athleten, die ernsthaft Muskelmasse aufbauen wollen.  Was macht Mutant Mass besonders?    ✅ 56 g hochwertiges Protein pro Portion – aus Whey Isolat, Konzentrat &amp; Casein   ✅ Über 1.100 Kalorien pro Portion für maximalen Kalorienüberschuss   ✅ 52 % weniger Zucker als die Vorgängerformel – cleaner Gainer   ✅ 36 g BCAAs, EAAs &amp; Glutamin für optimale Regeneration   ✅ Natürliche Zutaten wie Hafer, Süßkartoffel &amp; Avocado   ✅ 6 leckere Geschmacksrichtungen – einfach zu mischen   Für wen ist Mutant Mass geeignet? Mutant Mass wurde speziell für Hard Gainer entwickelt –  Menschen, die trotz intensivem Training Schwierigkeiten haben,  ausreichend Kalorien und Nährstoffe über die normale Ernährung aufzunehmen.  Ob in der Aufbauphase, nach dem Training oder als  kalorienreicher Snack zwischen den Mahlzeiten – Mutant Mass liefert  genau das, was dein Körper für maximales Wachstum braucht.  Neu &amp; Verbesserte Formel Die aktuelle Mutant Mass Formel ist das Ergebnis jahrelanger Forschung  und Entwicklung. Mehr Protein, weniger Zucker, besserer Geschmack –  und jetzt mit natürlichen Vollwertzutaten angereichert.  Produktdetails     Inhalt: 2270g (Beutel)    Protein pro Portion: 56g    Kalorien pro Portion: über 1.100 kcal    BCAAs/EAAs/Glutamin: 36g    Geschmacksrichtungen: 6 Varianten verfügbar";https://cdn.shopify.com/s/files/1/0843/5240/1734/files/mutant-mass-weight-gainer-2270g-56g-protein-1100-kalorien-bcaas-eaas-masse-aufbauen-1073981.jpg?v=1778490555;29.99;1.32 EUR per 100 g;;;1;2 bis 4 Werktage;Paketdienst;"Integration-Partner: eshop-guide; Partner-Merchant-Solution: Shopify; Partner-Merchant-Solution-Version: unbekannt; Interface-Version: unbekannt";0;0
mutant-mass-bundle_vanilla-ice-cream;Mutant;Mutant Mass 2270g + BioTech USA Creatine 300g Bundle – Vanilla Ice Cream;Sport & Freizeit > Fitness > Sporternährung > Weight Gainer;https://niroox.de/products/mutant-mass-2270g-biotech-creatine-300g-bundle-muskelaufbau?utm_source=idealo&utm_medium=cpc;627933026664;"Das Power-Bundle für maximalen Muskelaufbau  Dieses unschlagbare Bundle kombiniert zwei der effektivsten  Supplements für Masse und Kraft: Mutant Mass 2270g –  der #1 Weight Gainer für Hard Gainer – und Biotech USA  Creatine Monohydrat 300g – das meistverkaufte Kreatin-Supplement  im Kraftsport. Zusammen bilden sie die perfekte Grundlage für  deinen Muskelaufbau.  🔥 Mutant Mass 2270g – Weight Gainer  Speziell entwickelt für Bodybuilder, Gewichtheber und ambitionierte  Athleten, die ernsthaft Masse aufbauen wollen.     ✅ 56 g Protein pro Portion – Whey Isolat, Konzentrat &amp; Casein   ✅ Über 1.100 Kalorien pro Portion für maximalen Kalorienüberschuss   ✅ 52 % weniger Zucker als die Vorgängerformel   ✅ 36 g BCAAs, EAAs &amp; Glutamin für optimale Regeneration   ✅ Natürliche Zutaten: Hafer, Süßkartoffel &amp; Avocado   ✅ 6 leckere Geschmacksrichtungen – leicht zu mischen   💪 Biotech USA Creatine Monohydrat 300g  100 % reines, mikronisiertes Kreatin-Monohydrat – ohne Zusätze,  ohne Zucker, ohne Aspartam. Das ideale Ergänzungsprodukt zu deinem  Weight Gainer für maximale Kraftsteigerung und schnellere Regeneration.     ✅ 100% reines Kreatin-Monohydrat – mikronisiert für optimale Löslichkeit   ✅ 60 Portionen à 5g – ausreichend für ca. 2 Monate   ✅ Steigert Kraft &amp; Leistung bei intensivem Krafttraining   ✅ Geschmacksneutral – einfach in den Mutant Mass Shake mischen   ✅ Frei von Zusätzen – kein Zucker, keine Farbstoffe, kein Palmöl   Warum Kreatin und Weight Gainer kombinieren? Mutant Mass liefert die Kalorien und das Protein für den Muskelaufbau.  Kreatin sorgt dafür, dass du im Training mehr Kraft und Ausdauer hast –  und so noch mehr aus jeder Einheit herausholst. Die Kombination beider  Produkte ist eine der bewährtesten Strategien im Kraftsport.  Produktdetails     Mutant Mass: 2270g Beutel | 56g Protein | 1100+ kcal pro Portion    Biotech USA Creatine: 300g | 60 Portionen | 100% Kreatin-Monohydrat";https://cdn.shopify.com/s/files/1/0843/5240/1734/files/mutant-mass-2270g-biotech-usa-creatine-300g-bundle-weight-gainer-kreatin-muskelaufbau-set-4661709.jpg?v=1778490557;35.99;1.32 EUR per 100 g;;;1;2 bis 4 Werktage;Paketdienst;"Integration-Partner: eshop-guide; Partner-Merchant-Solution: Shopify; Partner-Merchant-Solution-Version: unbekannt; Interface-Version: unbekannt";0;0
mutant-mass-bundle_triple-chocolate;Mutant;Mutant Mass 2270g + BioTech USA Creatine 300g Bundle – Triple Chocolate;Sport & Freizeit > Fitness > Sporternährung > Weight Gainer;https://niroox.de/products/mutant-mass-2270g-biotech-creatine-300g-bundle-muskelaufbau?utm_source=idealo&utm_medium=cpc;627933026664;"Das Power-Bundle für maximalen Muskelaufbau  Dieses unschlagbare Bundle kombiniert zwei der effektivsten  Supplements für Masse und Kraft: Mutant Mass 2270g –  der #1 Weight Gainer für Hard Gainer – und Biotech USA  Creatine Monohydrat 300g – das meistverkaufte Kreatin-Supplement  im Kraftsport. Zusammen bilden sie die perfekte Grundlage für  deinen Muskelaufbau.  🔥 Mutant Mass 2270g – Weight Gainer  Speziell entwickelt für Bodybuilder, Gewichtheber und ambitionierte  Athleten, die ernsthaft Masse aufbauen wollen.     ✅ 56 g Protein pro Portion – Whey Isolat, Konzentrat &amp; Casein   ✅ Über 1.100 Kalorien pro Portion für maximalen Kalorienüberschuss   ✅ 52 % weniger Zucker als die Vorgängerformel   ✅ 36 g BCAAs, EAAs &amp; Glutamin für optimale Regeneration   ✅ Natürliche Zutaten: Hafer, Süßkartoffel &amp; Avocado   ✅ 6 leckere Geschmacksrichtungen – leicht zu mischen   💪 Biotech USA Creatine Monohydrat 300g  100 % reines, mikronisiertes Kreatin-Monohydrat – ohne Zusätze,  ohne Zucker, ohne Aspartam. Das ideale Ergänzungsprodukt zu deinem  Weight Gainer für maximale Kraftsteigerung und schnellere Regeneration.     ✅ 100% reines Kreatin-Monohydrat – mikronisiert für optimale Löslichkeit   ✅ 60 Portionen à 5g – ausreichend für ca. 2 Monate   ✅ Steigert Kraft &amp; Leistung bei intensivem Krafttraining   ✅ Geschmacksneutral – einfach in den Mutant Mass Shake mischen   ✅ Frei von Zusätzen – kein Zucker, keine Farbstoffe, kein Palmöl   Warum Kreatin und Weight Gainer kombinieren? Mutant Mass liefert die Kalorien und das Protein für den Muskelaufbau.  Kreatin sorgt dafür, dass du im Training mehr Kraft und Ausdauer hast –  und so noch mehr aus jeder Einheit herausholst. Die Kombination beider  Produkte ist eine der bewährtesten Strategien im Kraftsport.  Produktdetails     Mutant Mass: 2270g Beutel | 56g Protein | 1100+ kcal pro Portion    Biotech USA Creatine: 300g | 60 Portionen | 100% Kreatin-Monohydrat";https://cdn.shopify.com/s/files/1/0843/5240/1734/files/mutant-mass-2270g-biotech-usa-creatine-300g-bundle-weight-gainer-kreatin-muskelaufbau-set-4661709.jpg?v=1778490557;35.99;1.32 EUR per 100 g;;;1;2 bis 4 Werktage;Paketdienst;"Integration-Partner: eshop-guide; Partner-Merchant-Solution: Shopify; Partner-Merchant-Solution-Version: unbekannt; Interface-Version: unbekannt";0;0
scitec-bcaa-xpress-280g_limette;Scitec Nutrition;Scitec Nutrition BCAA Xpress 280g – limette;Sport & Freizeit > Fitness > Sporternährung > Aminosäuren;https://niroox.de/products/scitec-bcaa-xpress-280g?utm_source=idealo&utm_medium=cpc;5999100022232;Scitec Nutrition BCAA Xpress – 280g – 5.000mg BCAAs pro Portion im optimalen 2:1:1 Verhältnis. Reines BCAA-Pulver ohne Zusätze – zuckerfrei, glutenfrei und laktosefrei. 40 Portionen pro Dose. Die essentiellen Aminosäuren für Muskelschutz und Regeneration.  Warum BCAA Xpress? Pures BCAA – ohne Extras, ohne Kompromisse. BCAA Xpress liefert dir 5g der drei essentiellen verzweigtkettigen Aminosäuren L-Leucin, L-Isoleucin und L-Valin im bewährten 2:1:1 Verhältnis. Ideal für alle, die gezielt BCAAs supplementieren möchten – ohne Glutamin, ohne Taurin, nur das was deine Muskeln brauchen.  Produkthighlights   5.000mg BCAAs pro Portion – im optimalen 2:1:1 Verhältnis  L-Leucin 2.500mg – Hauptaktivator der Muskelproteinsynthese  L-Isoleucin 1.250mg – unterstützt Energiebereitstellung  L-Valin 1.250mg – fördert Muskelregeneration Zuckerfrei, glutenfrei, laktosefrei  40 Portionen pro Dose (280g)  Leicht löslich – leckere Geschmacksrichtungen   Nährwerte pro Portion (7g)   BCAAs gesamt 5.000mg   – davon L-Leucin 2.500mg   – davon L-Isoleucin 1.250mg   – davon L-Valin 1.250mg    BCAA Xpress vs. BCAA + Glutamine Xpress    BCAA Xpress BCAA + Glutamine Xpress   BCAAs 5.000mg ✓ 5.000mg ✓   L-Glutamin – 5.000mg ✓   Taurin – 300mg ✓   Portionen 40 25–60   Möchtest du BCAAs mit Glutamin kombiniert? Dann ist das BCAA + Glutamine Xpress die richtige Wahl.  Anwendung 1 Portion (7g = 1 Messlöffel) in 300–400ml kaltes Wasser einrühren. Vor, während oder nach dem Training trinken. An trainingsfreien Tagen eine Portion zwischen den Mahlzeiten oder morgens nüchtern einnehmen.  Zutaten L-Leucin, L-Isoleucin, L-Valin, Aromen, Säureregulator (Citronensäure), Süßungsmittel (Sucralose, Acesulfam-K), Farbstoffe (je nach Geschmack).  Allergiehinweis Hergestellt in einem Betrieb, der Milch, Eier, Soja, Erdnüsse, Nüsse, Sellerie, Fisch, Krebstiere und Schwefeldioxid verarbeitet. Kann Spuren dieser Stoffe enthalten. Glutenfrei und laktosefrei gemäß EU-Verordnung.  Hinweise Nahrungsergänzungsmittel. Die empfohlene tägliche Verzehrmenge darf nicht überschritten werden. Nahrungsergänzungsmittel sind kein Ersatz für eine ausgewogene und abwechslungsreiche Ernährung sowie eine gesunde Lebensweise. Außerhalb der Reichweite von kleinen Kindern aufbewahren. Kühl und trocken lagern.  Über Scitec Nutrition Scitec Nutrition ist eine der führenden europäischen Marken für Sporternährung. Alle Produkte werden unter strengen Qualitätsstandards in Europa hergestellt.;https://cdn.shopify.com/s/files/1/0843/5240/1734/files/scitec-nutrition-bcaa-xpress-280g-5g-bcaas-pro-portion-211-1254654.jpg?v=1777655953;18.99;6.78 EUR per 100 g;;;1;2 bis 4 Werktage;Paketdienst;"Integration-Partner: eshop-guide; Partner-Merchant-Solution: Shopify; Partner-Merchant-Solution-Version: unbekannt; Interface-Version: unbekannt";0;0
scitec-bcaa-xpress-280g_pink-lemonade;Scitec Nutrition;Scitec Nutrition BCAA Xpress 280g – pink-lemonade;Sport & Freizeit > Fitness > Sporternährung > Aminosäuren;https://niroox.de/products/scitec-bcaa-xpress-280g?utm_source=idealo&utm_medium=cpc;5999100022270;Scitec Nutrition BCAA Xpress – 280g – 5.000mg BCAAs pro Portion im optimalen 2:1:1 Verhältnis. Reines BCAA-Pulver ohne Zusätze – zuckerfrei, glutenfrei und laktosefrei. 40 Portionen pro Dose. Die essentiellen Aminosäuren für Muskelschutz und Regeneration.  Warum BCAA Xpress? Pures BCAA – ohne Extras, ohne Kompromisse. BCAA Xpress liefert dir 5g der drei essentiellen verzweigtkettigen Aminosäuren L-Leucin, L-Isoleucin und L-Valin im bewährten 2:1:1 Verhältnis. Ideal für alle, die gezielt BCAAs supplementieren möchten – ohne Glutamin, ohne Taurin, nur das was deine Muskeln brauchen.  Produkthighlights   5.000mg BCAAs pro Portion – im optimalen 2:1:1 Verhältnis  L-Leucin 2.500mg – Hauptaktivator der Muskelproteinsynthese  L-Isoleucin 1.250mg – unterstützt Energiebereitstellung  L-Valin 1.250mg – fördert Muskelregeneration Zuckerfrei, glutenfrei, laktosefrei  40 Portionen pro Dose (280g)  Leicht löslich – leckere Geschmacksrichtungen   Nährwerte pro Portion (7g)   BCAAs gesamt 5.000mg   – davon L-Leucin 2.500mg   – davon L-Isoleucin 1.250mg   – davon L-Valin 1.250mg    BCAA Xpress vs. BCAA + Glutamine Xpress    BCAA Xpress BCAA + Glutamine Xpress   BCAAs 5.000mg ✓ 5.000mg ✓   L-Glutamin – 5.000mg ✓   Taurin – 300mg ✓   Portionen 40 25–60   Möchtest du BCAAs mit Glutamin kombiniert? Dann ist das BCAA + Glutamine Xpress die richtige Wahl.  Anwendung 1 Portion (7g = 1 Messlöffel) in 300–400ml kaltes Wasser einrühren. Vor, während oder nach dem Training trinken. An trainingsfreien Tagen eine Portion zwischen den Mahlzeiten oder morgens nüchtern einnehmen.  Zutaten L-Leucin, L-Isoleucin, L-Valin, Aromen, Säureregulator (Citronensäure), Süßungsmittel (Sucralose, Acesulfam-K), Farbstoffe (je nach Geschmack).  Allergiehinweis Hergestellt in einem Betrieb, der Milch, Eier, Soja, Erdnüsse, Nüsse, Sellerie, Fisch, Krebstiere und Schwefeldioxid verarbeitet. Kann Spuren dieser Stoffe enthalten. Glutenfrei und laktosefrei gemäß EU-Verordnung.  Hinweise Nahrungsergänzungsmittel. Die empfohlene tägliche Verzehrmenge darf nicht überschritten werden. Nahrungsergänzungsmittel sind kein Ersatz für eine ausgewogene und abwechslungsreiche Ernährung sowie eine gesunde Lebensweise. Außerhalb der Reichweite von kleinen Kindern aufbewahren. Kühl und trocken lagern.  Über Scitec Nutrition Scitec Nutrition ist eine der führenden europäischen Marken für Sporternährung. Alle Produkte werden unter strengen Qualitätsstandards in Europa hergestellt.;https://cdn.shopify.com/s/files/1/0843/5240/1734/files/scitec-nutrition-bcaa-xpress-280g-5g-bcaas-pro-portion-211-1254654.jpg?v=1777655953;18.99;6.78 EUR per 100 g;;;1;2 bis 4 Werktage;Paketdienst;"Integration-Partner: eshop-guide; Partner-Merchant-Solution: Shopify; Partner-Merchant-Solution-Version: unbekannt; Interface-Version: unbekannt";0;0
scitec-bcaa-xpress-280g_melone;Scitec Nutrition;Scitec Nutrition BCAA Xpress 280g – melone;Sport & Freizeit > Fitness > Sporternährung > Aminosäuren;https://niroox.de/products/scitec-bcaa-xpress-280g?utm_source=idealo&utm_medium=cpc;5999100022249;Scitec Nutrition BCAA Xpress – 280g – 5.000mg BCAAs pro Portion im optimalen 2:1:1 Verhältnis. Reines BCAA-Pulver ohne Zusätze – zuckerfrei, glutenfrei und laktosefrei. 40 Portionen pro Dose. Die essentiellen Aminosäuren für Muskelschutz und Regeneration.  Warum BCAA Xpress? Pures BCAA – ohne Extras, ohne Kompromisse. BCAA Xpress liefert dir 5g der drei essentiellen verzweigtkettigen Aminosäuren L-Leucin, L-Isoleucin und L-Valin im bewährten 2:1:1 Verhältnis. Ideal für alle, die gezielt BCAAs supplementieren möchten – ohne Glutamin, ohne Taurin, nur das was deine Muskeln brauchen.  Produkthighlights   5.000mg BCAAs pro Portion – im optimalen 2:1:1 Verhältnis  L-Leucin 2.500mg – Hauptaktivator der Muskelproteinsynthese  L-Isoleucin 1.250mg – unterstützt Energiebereitstellung  L-Valin 1.250mg – fördert Muskelregeneration Zuckerfrei, glutenfrei, laktosefrei  40 Portionen pro Dose (280g)  Leicht löslich – leckere Geschmacksrichtungen   Nährwerte pro Portion (7g)   BCAAs gesamt 5.000mg   – davon L-Leucin 2.500mg   – davon L-Isoleucin 1.250mg   – davon L-Valin 1.250mg    BCAA Xpress vs. BCAA + Glutamine Xpress    BCAA Xpress BCAA + Glutamine Xpress   BCAAs 5.000mg ✓ 5.000mg ✓   L-Glutamin – 5.000mg ✓   Taurin – 300mg ✓   Portionen 40 25–60   Möchtest du BCAAs mit Glutamin kombiniert? Dann ist das BCAA + Glutamine Xpress die richtige Wahl.  Anwendung 1 Portion (7g = 1 Messlöffel) in 300–400ml kaltes Wasser einrühren. Vor, während oder nach dem Training trinken. An trainingsfreien Tagen eine Portion zwischen den Mahlzeiten oder morgens nüchtern einnehmen.  Zutaten L-Leucin, L-Isoleucin, L-Valin, Aromen, Säureregulator (Citronensäure), Süßungsmittel (Sucralose, Acesulfam-K), Farbstoffe (je nach Geschmack).  Allergiehinweis Hergestellt in einem Betrieb, der Milch, Eier, Soja, Erdnüsse, Nüsse, Sellerie, Fisch, Krebstiere und Schwefeldioxid verarbeitet. Kann Spuren dieser Stoffe enthalten. Glutenfrei und laktosefrei gemäß EU-Verordnung.  Hinweise Nahrungsergänzungsmittel. Die empfohlene tägliche Verzehrmenge darf nicht überschritten werden. Nahrungsergänzungsmittel sind kein Ersatz für eine ausgewogene und abwechslungsreiche Ernährung sowie eine gesunde Lebensweise. Außerhalb der Reichweite von kleinen Kindern aufbewahren. Kühl und trocken lagern.  Über Scitec Nutrition Scitec Nutrition ist eine der führenden europäischen Marken für Sporternährung. Alle Produkte werden unter strengen Qualitätsstandards in Europa hergestellt.;https://cdn.shopify.com/s/files/1/0843/5240/1734/files/scitec-nutrition-bcaa-xpress-280g-5g-bcaas-pro-portion-211-1254654.jpg?v=1777655953;18.99;6.78 EUR per 100 g;;;1;2 bis 4 Werktage;Paketdienst;"Integration-Partner: eshop-guide; Partner-Merchant-Solution: Shopify; Partner-Merchant-Solution-Version: unbekannt; Interface-Version: unbekannt";0;0
scitec-bcaa-xpress-280g_apfel-apple;Scitec Nutrition;Scitec Nutrition BCAA Xpress 280g – apfel-apple;Sport & Freizeit > Fitness > Sporternährung > Aminosäuren;https://niroox.de/products/scitec-bcaa-xpress-280g?utm_source=idealo&utm_medium=cpc;5999100022225;Scitec Nutrition BCAA Xpress – 280g – 5.000mg BCAAs pro Portion im optimalen 2:1:1 Verhältnis. Reines BCAA-Pulver ohne Zusätze – zuckerfrei, glutenfrei und laktosefrei. 40 Portionen pro Dose. Die essentiellen Aminosäuren für Muskelschutz und Regeneration.  Warum BCAA Xpress? Pures BCAA – ohne Extras, ohne Kompromisse. BCAA Xpress liefert dir 5g der drei essentiellen verzweigtkettigen Aminosäuren L-Leucin, L-Isoleucin und L-Valin im bewährten 2:1:1 Verhältnis. Ideal für alle, die gezielt BCAAs supplementieren möchten – ohne Glutamin, ohne Taurin, nur das was deine Muskeln brauchen.  Produkthighlights   5.000mg BCAAs pro Portion – im optimalen 2:1:1 Verhältnis  L-Leucin 2.500mg – Hauptaktivator der Muskelproteinsynthese  L-Isoleucin 1.250mg – unterstützt Energiebereitstellung  L-Valin 1.250mg – fördert Muskelregeneration Zuckerfrei, glutenfrei, laktosefrei  40 Portionen pro Dose (280g)  Leicht löslich – leckere Geschmacksrichtungen   Nährwerte pro Portion (7g)   BCAAs gesamt 5.000mg   – davon L-Leucin 2.500mg   – davon L-Isoleucin 1.250mg   – davon L-Valin 1.250mg    BCAA Xpress vs. BCAA + Glutamine Xpress    BCAA Xpress BCAA + Glutamine Xpress   BCAAs 5.000mg ✓ 5.000mg ✓   L-Glutamin – 5.000mg ✓   Taurin – 300mg ✓   Portionen 40 25–60   Möchtest du BCAAs mit Glutamin kombiniert? Dann ist das BCAA + Glutamine Xpress die richtige Wahl.  Anwendung 1 Portion (7g = 1 Messlöffel) in 300–400ml kaltes Wasser einrühren. Vor, während oder nach dem Training trinken. An trainingsfreien Tagen eine Portion zwischen den Mahlzeiten oder morgens nüchtern einnehmen.  Zutaten L-Leucin, L-Isoleucin, L-Valin, Aromen, Säureregulator (Citronensäure), Süßungsmittel (Sucralose, Acesulfam-K), Farbstoffe (je nach Geschmack).  Allergiehinweis Hergestellt in einem Betrieb, der Milch, Eier, Soja, Erdnüsse, Nüsse, Sellerie, Fisch, Krebstiere und Schwefeldioxid verarbeitet. Kann Spuren dieser Stoffe enthalten. Glutenfrei und laktosefrei gemäß EU-Verordnung.  Hinweise Nahrungsergänzungsmittel. Die empfohlene tägliche Verzehrmenge darf nicht überschritten werden. Nahrungsergänzungsmittel sind kein Ersatz für eine ausgewogene und abwechslungsreiche Ernährung sowie eine gesunde Lebensweise. Außerhalb der Reichweite von kleinen Kindern aufbewahren. Kühl und trocken lagern.  Über Scitec Nutrition Scitec Nutrition ist eine der führenden europäischen Marken für Sporternährung. Alle Produkte werden unter strengen Qualitätsstandards in Europa hergestellt.;https://cdn.shopify.com/s/files/1/0843/5240/1734/files/scitec-nutrition-bcaa-xpress-280g-5g-bcaas-pro-portion-211-1254654.jpg?v=1777655953;18.99;6.78 EUR per 100 g;;;1;2 bis 4 Werktage;Paketdienst;"Integration-Partner: eshop-guide; Partner-Merchant-Solution: Shopify; Partner-Merchant-Solution-Version: unbekannt; Interface-Version: unbekannt";0;0
scitec-bcaa-xpress-280g_cola-lime;Scitec Nutrition;Scitec Nutrition BCAA Xpress 280g – cola-lime;Sport & Freizeit > Fitness > Sporternährung > Aminosäuren;https://niroox.de/products/scitec-bcaa-xpress-280g?utm_source=idealo&utm_medium=cpc;5999100022232;Scitec Nutrition BCAA Xpress – 280g – 5.000mg BCAAs pro Portion im optimalen 2:1:1 Verhältnis. Reines BCAA-Pulver ohne Zusätze – zuckerfrei, glutenfrei und laktosefrei. 40 Portionen pro Dose. Die essentiellen Aminosäuren für Muskelschutz und Regeneration.  Warum BCAA Xpress? Pures BCAA – ohne Extras, ohne Kompromisse. BCAA Xpress liefert dir 5g der drei essentiellen verzweigtkettigen Aminosäuren L-Leucin, L-Isoleucin und L-Valin im bewährten 2:1:1 Verhältnis. Ideal für alle, die gezielt BCAAs supplementieren möchten – ohne Glutamin, ohne Taurin, nur das was deine Muskeln brauchen.  Produkthighlights   5.000mg BCAAs pro Portion – im optimalen 2:1:1 Verhältnis  L-Leucin 2.500mg – Hauptaktivator der Muskelproteinsynthese  L-Isoleucin 1.250mg – unterstützt Energiebereitstellung  L-Valin 1.250mg – fördert Muskelregeneration Zuckerfrei, glutenfrei, laktosefrei  40 Portionen pro Dose (280g)  Leicht löslich – leckere Geschmacksrichtungen   Nährwerte pro Portion (7g)   BCAAs gesamt 5.000mg   – davon L-Leucin 2.500mg   – davon L-Isoleucin 1.250mg   – davon L-Valin 1.250mg    BCAA Xpress vs. BCAA + Glutamine Xpress    BCAA Xpress BCAA + Glutamine Xpress   BCAAs 5.000mg ✓ 5.000mg ✓   L-Glutamin – 5.000mg ✓   Taurin – 300mg ✓   Portionen 40 25–60   Möchtest du BCAAs mit Glutamin kombiniert? Dann ist das BCAA + Glutamine Xpress die richtige Wahl.  Anwendung 1 Portion (7g = 1 Messlöffel) in 300–400ml kaltes Wasser einrühren. Vor, während oder nach dem Training trinken. An trainingsfreien Tagen eine Portion zwischen den Mahlzeiten oder morgens nüchtern einnehmen.  Zutaten L-Leucin, L-Isoleucin, L-Valin, Aromen, Säureregulator (Citronensäure), Süßungsmittel (Sucralose, Acesulfam-K), Farbstoffe (je nach Geschmack).  Allergiehinweis Hergestellt in einem Betrieb, der Milch, Eier, Soja, Erdnüsse, Nüsse, Sellerie, Fisch, Krebstiere und Schwefeldioxid verarbeitet. Kann Spuren dieser Stoffe enthalten. Glutenfrei und laktosefrei gemäß EU-Verordnung.  Hinweise Nahrungsergänzungsmittel. Die empfohlene tägliche Verzehrmenge darf nicht überschritten werden. Nahrungsergänzungsmittel sind kein Ersatz für eine ausgewogene und abwechslungsreiche Ernährung sowie eine gesunde Lebensweise. Außerhalb der Reichweite von kleinen Kindern aufbewahren. Kühl und trocken lagern.  Über Scitec Nutrition Scitec Nutrition ist eine der führenden europäischen Marken für Sporternährung. Alle Produkte werden unter strengen Qualitätsstandards in Europa hergestellt.;https://cdn.shopify.com/s/files/1/0843/5240/1734/files/scitec-nutrition-bcaa-xpress-280g-5g-bcaas-pro-portion-211-1254654.jpg?v=1777655953;18.99;6.78 EUR per 100 g;;;1;2 bis 4 Werktage;Paketdienst;"Integration-Partner: eshop-guide; Partner-Merchant-Solution: Shopify; Partner-Merchant-Solution-Version: unbekannt; Interface-Version: unbekannt";0;0
